"","owner","amount_token"
"1","0x00347a5a6129c110cd302ff018fd81804e010705",5151.976375
"2","0x0725a084d97328dbba684d0f995162f6ee30006d",33035.0772573008
"3","0x07739dfc55e8643960c7cf987d9258c087cab976",14868.9259597765
"4","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",5098.6325
"5","0x0b5f261b9060259c16fa80cde329644f5e215c21",11884.885
"6","0x0d413542e648034f704394646f5ffb12022fc8d5",18924
"7","0x0f4455e082b96fde25ceafc06d5a08d85b14a43a",1676.25
"8","0x0f7f692bceb3255e344647aa0088abf08fd5f311",1765.45375000001
"9","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",37954.0762499999
"10","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",59220.1487499998
"11","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",4908.75
"12","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",3034.78435754189
"13","0x157670de008ec0d44bed498abcf80a6c94c6f4fd",1768.03125
"14","0x15870af7a292ad698827182fdd11b083298a9990",28806.4375
"15","0x15943e1951e0e3803cb62121315507fb5b054787",10865.118625
"16","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",15358.4598395786
"17","0x183aec83633dacd2501516a49f436283ee5ad100",25162.204375
"18","0x189dd12ea4ea3d3e562882add73c6f0a23439999",5739.50531250002
"19","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",42180.8779999999
"20","0x1c496ed78215eac4978f02cca335ff3a358e1f35",27561.09125
"21","0x1d1919d2585a02ac06804d51f96a56380d77b364",1451.0175
"22","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",12699.73125
"23","0x1e361950f4ce17463a0de5525ea2a2ab07bc4d50",5143.75
"24","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",5500
"25","0x200f28a82317d84cd2932e4b6e7a9aa0376053d6",1210.7375
"26","0x22ba795aa1223f0c8fae2932f16f4b1f8b573163",13696.705
"27","0x24f3e8c9ec86851151a50efee1650b48425aa51b",2389.787125
"28","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",19054.4975
"29","0x2e3bc8f3f3777481ac646d7e25ad06abf0abf873",7553.75
