"","owner","amount_token"
"1","0x05467836a6cb9fa2a52706db130f2cd3350d84dd",39675
"2","0x0725a084d97328dbba684d0f995162f6ee30006d",20421.0124375
"3","0x07739dfc55e8643960c7cf987d9258c087cab976",10472.68125
"4","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",2979.77875
"5","0x0d413542e648034f704394646f5ffb12022fc8d5",17220.375
"6","0x0f4455e082b96fde25ceafc06d5a08d85b14a43a",1235
"7","0x0f7f692bceb3255e344647aa0088abf08fd5f311",1323.7625
"8","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",16862.61
"9","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",22748.7875
"10","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",3585
"11","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",2632.5
"12","0x13aff8dbeb98a8a90145668883b044c5edcd4d22",6710.5625
"13","0x15870af7a292ad698827182fdd11b083298a9990",2540.15
"14","0x15943e1951e0e3803cb62121315507fb5b054787",3754.512125
"15","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",8968
"16","0x183aec83633dacd2501516a49f436283ee5ad100",16823.2785
"17","0x189dd12ea4ea3d3e562882add73c6f0a23439999",3093.9375
"18","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",24737.528
"19","0x1c496ed78215eac4978f02cca335ff3a358e1f35",14283.893
"20","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",4042.5
"21","0x1dbac10d2db0263dbd6cb98cb4bf10f0d4bbec9f",1069.57875
"22","0x1e31bd603ce6591d2bd64d13443169ec9ee99ab4",1462.0975
"23","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",5903.1475
"24","0x22ba795aa1223f0c8fae2932f16f4b1f8b573163",13860.01375
"25","0x24f3e8c9ec86851151a50efee1650b48425aa51b",1477.92375
"26","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",13781.1575
"27","0x2e3bc8f3f3777481ac646d7e25ad06abf0abf873",3375
"28","0x31ad6b5eb9affddf27f64fde1110346e3833e07e",2157.75
"29","0x36d00dd95955298e930feacb105dab57990b8b86",4013.30355
"30","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",1167.5
"31","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",3978.75
"32","0x466f92bb211d12794b5b0c78438864079e2cbfd5",54996.375
"33","0x468e68f95216fb8759406fc8a9bbee10498e9281",579856.47
"34","0x53ffb1e7d0a4367227c7a5b7f4e25c68db8aaa31",1017.575
"35","0x5496c8a338419aff9a68a86d9a3585c62b9c9e1c",7465.965
"36","0x555e0e1dabd9bdb568a1d1357dedcefc21c3e25f",1857.95125
"37","0x5da53876a2b37b49ee42c34522c9fced42047658",10026.23
"38","0x5eb1b8fcd1710b77f17df2a46dff9bf983a7b43c",6136.56625
"39","0x5f90ebc41c07089502a32d683480ea3fe2410d34",23573.98875
"40","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",24819.48825
"41","0x6ac3d74b3e255ff48ae9d8e1b6c8bc9afdfa4cbd",25548.57811275
"42","0x6dbe1cebf019ac24a1966762097f873d0df25738",25653.5112875
"43","0x70b7b7e027ef6f528930a11a6bbb3c9b007443db",11029.9060325
"44","0x7130f38655c04edb772a663b026caa5eaab42598",3802.5
"45","0x74e7063ee49e3210e256d72e9ffa8dba54a67039",1352.325
"46","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",1671.641925
"47","0x7a75f008c92d94761ff156ef54d99133f3054be4",36702.74625
"48","0x7a892e2877fec2fc996560d496fee79707a685af",2399.31125
"49","0x7dd400917b8e737518af9a14eb1a415b1d2b98c4",1249.99875
"50","0x7e4539fee52bf80790e503b4f8e1fa2802713480",2944.00875
"51","0x80716b040fb9bfa0af28a57b25a7d338827d77ed",29081.82
"52","0x897c3f4be2a39b63267cfa23a1158fb5331cdd12",4058.5975
"53","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",8227.8
"54","0x8e50e4f1607b2f2964123757287442ef179470f9",2346.63625
"55","0x8f2ed6e59a27a96277b233eea9a0f0f460ccae31",28584.9570875
"56","0x91ce179c24baeeb502fddbbff4cdb71aedffffae",12489.3175
"57","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",24079.165
"58","0x96cc80292fa3a7045611eb84ae09df8bd15936d2",5017.18485
"59","0x98d142a1039ff6384bbc07c6231708e14b24a96d",12284.23225
"60","0x9992fc085d5b5fe8c62438d81ffa7903ed8343ad",213074.707
"61","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",1290.445
"62","0xa27a729443ad105cabbc5d2d7f877a5340aa3e69",4262.19
"63","0xa2d30f8da3da69ab08d8ac7553c6575701747aa8",1728.4475
"64","0xa36dd9897d3464961d1a7ec39b9fe91b6ade3204",1603.125
"65","0xa8ac9c0403d8a31cfc1bf43e09231c0ffaf52dd7",1111.25
"66","0xa9da3474eafab14ac6c9f6111acb2d2e5e071370",2888.65
