"","address","amount_token","bonus","total","prize","prize_GLMR","new_vest"
"1","0x00347a5a6129c110cd302ff018fd81804e010705",4813.8,1944.698125,6758.498125,1,12.55,0
"2","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",30878.77,5707.41364999999,44673.1440885387,2,25.1,12.55
"3","0x0d413542e648034f704394646f5ffb12022fc8d5",10466,9455.92500000001,20773.5916666667,1,12.55,0
"4","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",22000,12734.91125,38993.2445833333,1,12.55,0
"5","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",40003,27451.1225000001,78390.7891666668,5,62.75,50.2
"6","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",3460,181.65,4998.22186757133,1,12.55,0
"7","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",2000,2000,3488.92754237287,1,12.55,0
"8","0x13aff8dbeb98a8a90145668883b044c5edcd4d22",10000,989.875,11841.5416666667,1,12.55,0
"9","0x15870af7a292ad698827182fdd11b083298a9990",20000,2350,22350,1,12.55,0
"10","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",10476,8272.49250000001,22319.0121971372,3,37.65,25.1
"11","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",25700,19358.9405000001,49272.2738333335,1,12.55,0
"12","0x1c496ed78215eac4978f02cca335ff3a358e1f35",19347,14834.86,35885.1933333334,1,12.55,0
"13","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",3000,3000,6000,1,12.55,0
"14","0x200f28a82317d84cd2932e4b6e7a9aa0376053d6",2000,793.387500000008,2793.38750000001,1,12.55,0
"15","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",11245,10719.7250000001,23219.7250000001,1,12.55,0
"16","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",3000,3000,7703.33333333333,1,12.55,0
"17","0x510060b860fac522c2cf4845cfbbadb6888a54b4",4736,331.52,5067.52,1,12.55,0
"18","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",18500,8024.375,28427.9300241049,3,37.65,25.1
"19","0x5f90ebc41c07089502a32d683480ea3fe2410d34",19029,18426.72125,37455.72125,2,25.1,12.55
"20","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",23202,20106.1305,48328.1305,5,62.75,50.2
"21","0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b",2000,1290,3290,1,12.55,0
"22","0x75203bc03125befff8aed3b9fd687d8818a8b2e1",8590,2883.11250000001,11511.55625,2,25.1,12.55
"23","0x77634ebd77c039fcb17f6320006d6a2729c4fb78",3757.88,2259.052225,6016.932225,1,12.55,0
"24","0x7a75f008c92d94761ff156ef54d99133f3054be4",23118,21582.6174999999,54830.6174999999,7,87.85,75.3
"25","0x897c3f4be2a39b63267cfa23a1158fb5331cdd12",9328,6168.25750000002,15496.2575,1,12.55,0
"26","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",7400,6707.27500000008,14107.2750000001,1,12.55,0
"27","0x98d142a1039ff6384bbc07c6231708e14b24a96d",22282,16482.93625,41274.93625,4,50.2,37.65
"28","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",4454,2520.15125,6974.15125,1,12.55,0
"29","0xa36dd9897d3464961d1a7ec39b9fe91b6ade3204",3900,1708.5,6803.4087076271,1,12.55,0
"30","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",79028.5,23521.0731250001,117699.573125,7,87.85,75.3
"31","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",10300,5529,15829,2,25.1,12.55
"32","0xb52937c750792574d4ca6d8bc7f5951bd6800541",8883.833882,2391.3377339775,11275.1716159775,2,25.1,12.55
"33","0xb8167d9a4e7a4eaf4fdcdfa60f3d78f15afcc98a",6150.109675,2389.93157971876,8540.04125471876,1,12.55,0
"34","0xba4cc2ab882746bf058e148e53e860d7e0756220",1281.577148,421.474769947499,1703.0519179475,1,12.55,0
"35","0xc1a95655ad8d40e8cdf4f9f29c3a6946932f4294",2001,1408.16625000002,3490.67200614406,1,12.55,0
"36","0xc7e86ff1d8403e5fe1a9b2644f8935d6a328fa16",6127,2429.97874999998,8556.97874999998,2,25.1,12.55
"37","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",71736,43595.5712500001,139446.57125,6,75.3,62.75
"38","0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c",8080,5674.165025,13754.165025,2,25.1,12.55
"39","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",50000,46296.641125,111581.641125,3,37.65,25.1
"40","0xd8e3b302b03d739bb94291aca58f006a072425a7",10000,650,10650,1,12.55,0
"41","0xda13157f47929bced94ce06ef8cbef70328981fc",10000,8177.9375,21743.625,1,12.55,0
"42","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",19954,10884.9024999999,32542.2358333333,1,12.55,0
"43","0xe4f01a14c9496513ebc434d231ccfdf696e219eb",50636,9494.25000000001,65150.25,3,37.65,25.1
"44","0xede25f41e2c28708be61b583cc9cb6771e113fbe",80600,58333.8125,157087.145833333,11,138.05,125.5
"45","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",26797,13960.0462499999,42460.3795833333,2,25.1,12.55
"46","0xfad4a2d4c72733e82124139e41161152771a4d9d",4564,2764.20375,8583.20375,1,12.55,0
