"","address","5","6","7","8","9"
"1","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",0,0,0,0,0
"2","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",17.0333333333333,25.55,56.65,39.6166666666667,31.1
"3","0x15943e1951e0e3803cb62121315507fb5b054787",0,0,5.18333333333333,5.18333333333333,5.18333333333333
"4","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",0,8.51666666666667,18.8833333333334,18.8833333333334,10.3666666666667
"5","0x189dd12ea4ea3d3e562882add73c6f0a23439999",0,0,0,0,0
"6","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",17.0333333333333,17.0333333333333,27.4,10.3666666666667,10.3666666666667
"7","0x1c496ed78215eac4978f02cca335ff3a358e1f35",0,8.51666666666667,8.51666666666667,8.51666666666667,0
"8","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",0,0,5.18333333333333,5.18333333333333,5.18333333333333
"9","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",0,8.51666666666667,8.51666666666667,8.51666666666667,0
"10","0x49d443d89da0712b1d608eeaedef2650ab8b2206",0,0,0,0,0
"11","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",0,8.51666666666667,8.51666666666667,8.51666666666667,0
"12","0x562cd9d3e460bf542fca162b4720e340a72c4618",0,0,0,0,0
"13","0x5da53876a2b37b49ee42c34522c9fced42047658",8.51666666666667,8.51666666666667,18.8833333333334,10.3666666666667,10.3666666666667
"14","0x5f90ebc41c07089502a32d683480ea3fe2410d34",0,0,0,0,0
"15","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",0,0,20.7333333333333,20.7333333333333,20.7333333333333
"16","0x7a75f008c92d94761ff156ef54d99133f3054be4",17.0333333333333,34.0666666666666,54.7999999999999,37.7666666666666,20.7333333333333
"17","0x897c3f4be2a39b63267cfa23a1158fb5331cdd12",0,0,0,0,0
"18","0x8e50e4f1607b2f2964123757287442ef179470f9",0,0,0,0,0
"19","0x96cc80292fa3a7045611eb84ae09df8bd15936d2",0,0,5.18333333333333,5.18333333333333,5.18333333333333
"20","0x98d142a1039ff6384bbc07c6231708e14b24a96d",0,0,10.3666666666667,10.3666666666667,10.3666666666667
"21","0x9d92ae4ca36954cd57d25a291e2b324cd11c17ba",0,0,0,0,0
"22","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",0,0,0,0,0
"23","0xa27a729443ad105cabbc5d2d7f877a5340aa3e69",0,0,5.18333333333333,5.18333333333333,5.18333333333333
"24","0xa2d30f8da3da69ab08d8ac7553c6575701747aa8",0,0,0,0,0
