"","owner","amount_token"
"1","0xede25f41e2c28708be61b583cc9cb6771e113fbe",179584.208333333
"2","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",131147.128333333
"3","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",144199.418333333
"4","0xe4f01a14c9496513ebc434d231ccfdf696e219eb",72949.3666666667
"5","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",106453.95625
"6","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",82433.8016666668
"7","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",50846.1477028442
"8","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",49905.6891666666
"9","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",50237.2450833335
"10","0x7a75f008c92d94761ff156ef54d99133f3054be4",59020.7199999997
"11","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",53350.3881666665
"12","0x98d142a1039ff6384bbc07c6231708e14b24a96d",27887.4483333333
"13","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",38240.8333333333
"14","0x5da53876a2b37b49ee42c34522c9fced42047658",28931.8395833333
"15","0x15870af7a292ad698827182fdd11b083298a9990",25100
"16","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",33701.7129166666
"17","0x1c496ed78215eac4978f02cca335ff3a358e1f35",37942.6856666667
"18","0x5f90ebc41c07089502a32d683480ea3fe2410d34",38919.2650000001
"19","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",32948.1049493396
"20","0x0b5f261b9060259c16fa80cde329644f5e215c21",17890.95375
"21","0x15943e1951e0e3803cb62121315507fb5b054787",20137.7242916667
"22","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",23243.6166666667
"23","0x562cd9d3e460bf542fca162b4720e340a72c4618",18072.9459549195
"24","0x96cc80292fa3a7045611eb84ae09df8bd15936d2",12747.2770548354
"25","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",24069.8730944314
"26","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",17799
"27","0x49d443d89da0712b1d608eeaedef2650ab8b2206",17312.5
"28","0xda13157f47929bced94ce06ef8cbef70328981fc",20919.4583333333
"29","0xd8e3b302b03d739bb94291aca58f006a072425a7",12025
"30","0x07739dfc55e8643960c7cf987d9258c087cab976",18214.8870664548
"31","0x897c3f4be2a39b63267cfa23a1158fb5331cdd12",16778.8575
"32","0xb52937c750792574d4ca6d8bc7f5951bd6800541",13916.9521922525
"33","0x75203bc03125befff8aed3b9fd687d8818a8b2e1",14142.9975
"34","0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c",16242.871275
"35","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",14374.6250000001
"36","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",8719.79625
"37","0xfc0feae0323c77dfe9861f45436a986f8999ebfb",12184.7916666666
"38","0x7b2c08606c9bbcbc2d5acee70deca0058051e9e1",11504.881875
"39","0xb8167d9a4e7a4eaf4fdcdfa60f3d78f15afcc98a",9488.47081003125
"40","0x64d414a275842728925f72847e09e694b590d5b1",6845.625
"41","0xde10c4a242af497479816b2144c1d78838c7c796",11537.1183333333
"42","0xfe5563cd4a9528a472584ef49ed66faf4d484856",9224.22379876241
"43","0x47bbe214a4bc6bb2b2896eb280422af0c4198313",9024.16999999999
"44","0xb432de8871c179b57850ee04144a70b76b897c37",6976.6487875
"45","0xd23a9b7eaf27b521880337b19edcf13cb6b26dff",9615.5625
"46","0x00347a5a6129c110cd302ff018fd81804e010705",7499.870625
"47","0x510060b860fac522c2cf4845cfbbadb6888a54b4",5718.72
"48","0xfad4a2d4c72733e82124139e41161152771a4d9d",8878.03291666666
"49","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",7671.08375
"50","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",7428.93149999999
"51","0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a",7835.625
"52","0x60f2a7c350ffca4ef7bcec0e8c48d6ea40241e3c",5068.2375
"53","0xa36dd9897d3464961d1a7ec39b9fe91b6ade3204",7249.52133474576
"54","0xd3cd1bce062483536b97c47221c165a9fe3b4716",6819.7904166667
"55","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",5533.46359232695
"56","0xfec33dff5871971eaa32ca34fc3229f8f12c8b13",5632.69440556865
"57","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",6000
"58","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",6851.66666666667
"59","0x2e3bc8f3f3777481ac646d7e25ad06abf0abf873",6000
"60","0x189dd12ea4ea3d3e562882add73c6f0a23439999",5874.62878355229
"61","0xa9da3474eafab14ac6c9f6111acb2d2e5e071370",5907.63125
"62","0x7130f38655c04edb772a663b026caa5eaab42598",5800
"63","0xa8ac9c0403d8a31cfc1bf43e09231c0ffaf52dd7",4442.24
"64","0xe4de83fdbc4b9352deeab80a1b03a2da99e5a4a4",4150.49950000001
"65","0xa27a729443ad105cabbc5d2d7f877a5340aa3e69",5652.66666666669
"66","0x8e50e4f1607b2f2964123757287442ef179470f9",4411.84621644777
"67","0x7a892e2877fec2fc996560d496fee79707a685af",3676.01166666667
"68","0xbfdc403a22a073b36489aa0255784442ee8ba450",4031.17374999999
"69","0x629cbcaaae418da37f4ed34f13637f809f75278b",3519.52874077249
"70","0xab0211d3c1ee22c9e0c727964318b366517b4658",3695.38245123773
"71","0x5496c8a338419aff9a68a86d9a3585c62b9c9e1c",4072.00000000002
"72","0x157670de008ec0d44bed498abcf80a6c94c6f4fd",3082.63750000001
"73","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",4857.6666666667
"74","0xc1a95655ad8d40e8cdf4f9f29c3a6946932f4294",3719.56210021186
"75","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",3717.70324858757
"76","0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b",3565
"77","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",3685
"78","0xad462c96dbbf2385977d500668dee6d5bfd5077f",2995
"79","0x200f28a82317d84cd2932e4b6e7a9aa0376053d6",3068.38750000001
"80","0x9c6048f47723e08f87ad9aaf9604ec17a6cea03f",2721.8505
