"","address","amount_token","bonus","total","prize","prize_GLMR","new_vest"
"1","0x07739dfc55e8643960c7cf987d9258c087cab976",9799,9321.29875,18214.8870664548,1,12.55,0
"2","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",31605.65,10003.9368,50846.1477028442,2,25.1,12.55
"3","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",22000,14537.5,38240.8333333333,3,37.65,25.1
"4","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",40003,31539.1350000001,82433.8016666668,7,87.85,75.3
"5","0x15943e1951e0e3803cb62121315507fb5b054787",11701.1,7599.95762500001,20137.7242916667,1,12.55,0
"6","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",10476,9237.94250000002,24069.8730944314,3,37.65,25.1
"7","0x1c496ed78215eac4978f02cca335ff3a358e1f35",19674,17417.0190000001,37942.6856666667,1,12.55,0
"8","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",3000,3000,6000,1,12.55,0
"9","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",2000,1685,3685,1,12.55,0
"10","0x49d443d89da0712b1d608eeaedef2650ab8b2206",10000,7312.5,17312.5,1,12.55,0
"11","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",18500,10568.125,32948.1049493396,4,50.2,37.65
"12","0x5f90ebc41c07089502a32d683480ea3fe2410d34",19029,18635.2650000001,38919.2650000001,2,25.1,12.55
"13","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",23499,21484.7214999999,53350.3881666665,4,50.2,37.65
"14","0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b",2000,1565,3565,1,12.55,0
"15","0x7130f38655c04edb772a663b026caa5eaab42598",2900,2900,5800,1,12.55,0
"16","0x75203bc03125befff8aed3b9fd687d8818a8b2e1",8770,4079.55375,14142.9975,1,12.55,0
"17","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",7091.4,1628.39625,8719.79625,1,12.55,0
"18","0x7a75f008c92d94761ff156ef54d99133f3054be4",23532,22908.7199999997,59020.7199999997,6,75.3,62.75
"19","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",7400,6974.62500000011,14374.6250000001,1,12.55,0
"20","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",2003,2003.00000000003,4857.6666666667,1,12.55,0
"21","0x98d142a1039ff6384bbc07c6231708e14b24a96d",22282,167.115,27887.4483333333,1,12.55,0
"22","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",79922.7,34446.095,131147.128333333,10,125.5,112.95
"23","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",10300,6244,17799,1,12.55,0
"24","0xb432de8871c179b57850ee04144a70b76b897c37",5072.7,1282.583,6976.6487875,1,12.55,0
"25","0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a",4100,3735.625,7835.625,1,12.55,0
"26","0xd3cd1bce062483536b97c47221c165a9fe3b4716",3656,2327.12375000003,6819.7904166667,1,12.55,0
"27","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",72696,53410.085,144199.418333333,8,100.4,87.85
"28","0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c",8195,6792.87127500001,16242.871275,1,12.55,0
"29","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",50000,48863.95625,106453.95625,7,87.85,75.3
"30","0xd8e3b302b03d739bb94291aca58f006a072425a7",10000,2025,12025,1,12.55,0
"31","0xda13157f47929bced94ce06ef8cbef70328981fc",10000,8846.6875,20919.4583333333,1,12.55,0
"32","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",19954,12896.04625,33701.7129166666,2,25.1,12.55
"33","0xe4f01a14c9496513ebc434d231ccfdf696e219eb",50636,16456.7,72949.3666666667,7,87.85,75.3
"34","0xede25f41e2c28708be61b583cc9cb6771e113fbe",88000,69770.875,179584.208333333,6,75.3,62.75
"35","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",30087,17712.0225,49905.6891666666,4,50.2,37.65
"36","0xfad4a2d4c72733e82124139e41161152771a4d9d",4644,3397.36624999999,8878.03291666666,1,12.55,0
"37","0xfe5563cd4a9528a472584ef49ed66faf4d484856",5509,3899.82375000002,9224.22379876241,4,50.2,37.65
