"","address","amount_token","bonus","total","prize","prize_GLMR","new_vest"
"1","0x07739dfc55e8643960c7cf987d9258c087cab976",9799,9799.00000000003,18750.1373728814,1,12.55,0
"2","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",37353.16,15485.7755625,63259.1340507894,3,37.65,25.1
"3","0x0b5f261b9060259c16fa80cde329644f5e215c21",11888,7815.87374999996,19703.87375,2,25.1,12.55
"4","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",40003,34756.8999999999,88146.5666666665,5,62.75,50.2
"5","0x15870af7a292ad698827182fdd11b083298a9990",20000,8150,28150,1,12.55,0
"6","0x15943e1951e0e3803cb62121315507fb5b054787",11861.3756238748,8891.32681254018,21171.0357697484,1,12.55,0
"7","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",10476,9672.5325,24711.0429412198,2,25.1,12.55
"8","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",25700,25234.4125000001,51771.0791666667,3,37.65,25.1
"9","0x1c496ed78215eac4978f02cca335ff3a358e1f35",19949,18872.3275000001,38821.3275000001,3,37.65,25.1
"10","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",11525,11062.7275000001,23006.0608333334,1,12.55,0
"11","0x47bbe214a4bc6bb2b2896eb280422af0c4198313",5373,4301.39749999999,9674.39749999998,1,12.55,0
"12","0x49d443d89da0712b1d608eeaedef2650ab8b2206",10000,8837.5,18837.5,1,12.55,0
"13","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",8500,6151.875,20727.6017279821,2,25.1,12.55
"14","0x562cd9d3e460bf542fca162b4720e340a72c4618",11518.33,6859.89827499995,18861.7796886411,1,12.55,0
"15","0x5da53876a2b37b49ee42c34522c9fced42047658",21646,9068.10874999998,31550.7754166667,4,50.2,37.65
"16","0x5f90ebc41c07089502a32d683480ea3fe2410d34",19029,18820.8700000001,39941.5366666668,1,12.55,0
"17","0x60f2a7c350ffca4ef7bcec0e8c48d6ea40241e3c",5022.05112126786,1778.87933511109,6800.93045637895,1,12.55,0
"18","0x629cbcaaae418da37f4ed34f13637f809f75278b",2232.472847,1645.36203037998,3877.83487737998,1,12.55,0
"19","0x64d414a275842728925f72847e09e694b590d5b1",6000,1760.625,7760.625,1,12.55,0
"20","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",23958.919134345,22485.9213573965,55229.8404917416,4,50.2,37.65
"21","0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b",2000,1870,3870,1,12.55,0
"22","0x7a75f008c92d94761ff156ef54d99133f3054be4",23973,23107.3799999996,60048.7133333329,3,37.65,25.1
"23","0x7b2c08606c9bbcbc2d5acee70deca0058051e9e1",6731,5755.03562500003,12486.035625,2,25.1,12.55
"24","0x98d142a1039ff6384bbc07c6231708e14b24a96d",22282,3565.12,29193.7866666667,1,12.55,0
"25","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",12456,4724.01875000002,17180.01875,1,12.55,0
"26","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",81001.5,46722.0257499999,147385.192416667,7,87.85,75.3
"27","0xa8ac9c0403d8a31cfc1bf43e09231c0ffaf52dd7",2570,2117.915,4687.915,1,12.55,0
"28","0xa9da3474eafab14ac6c9f6111acb2d2e5e071370",3005.78763115815,2981.53364989479,5987.32128105294,1,12.55,0
"29","0xaab74d9a2fa5aa3d021b870dd6e8c1e467346ed6",30117.3067129827,1241.29019997231,31358.596912955,1,12.55,0
"30","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",10300,7037,18173.6666666667,2,25.1,12.55
"31","0xb432de8871c179b57850ee04144a70b76b897c37",6785.0358743068,2196.52811558033,9602.92977738713,1,12.55,0
"32","0xb52937c750792574d4ca6d8bc7f5951bd6800541",9258.79901703928,5020.93048634116,15116.3961700471,1,12.55,0
"33","0xb646f3709b06dd294345389d8f79a9893d64a106",2150,473.53375,2623.53375,1,12.55,0
"34","0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a",4111.51714601573,3903.603834056,8015.12098007173,1,12.55,0
"35","0xd23a9b7eaf27b521880337b19edcf13cb6b26dff",5000,5000,9747.8125,1,12.55,0
"36","0xd3cd1bce062483536b97c47221c165a9fe3b4716",3656,2602.23375000003,6676.56708333336,1,12.55,0
"37","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",73681,60415.59625,149993.262916667,7,87.85,75.3
"38","0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c",11050.8678739752,7723.43007317212,19610.964613814,3,37.65,25.1
"39","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",50000,49965.4075,110005.4075,5,62.75,50.2
"40","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",20330,15176.6887500001,36761.6887500001,2,25.1,12.55
"41","0xe4f01a14c9496513ebc434d231ccfdf696e219eb",52624.5896372359,24316.6613418206,87817.9176457232,3,37.65,25.1
"42","0xede25f41e2c28708be61b583cc9cb6771e113fbe",88000,79816.25,185386.25,7,87.85,75.3
"43","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",32050.6945456014,21178.0463051683,57830.4075174363,7,87.85,75.3
"44","0xfec33dff5871971eaa32ca34fc3229f8f12c8b13",3100,2269.375,5826.8645587802,1,12.55,0
