"","address","5","6","7","8","9","10","11","12"
"1","0x07739dfc55e8643960c7cf987d9258c087cab976",0,0,0,0,0,0,0,0
"2","0x08c340f86f96b63e5c8d8b28a9e1eee750d3cf7b",0,0,0,4.18333333333333,8.36666666666666,16.7333333333333,12.55,8.36666666666667
"3","0x0b5f261b9060259c16fa80cde329644f5e215c21",0,0,0,0,0,4.18333333333333,4.18333333333333,4.18333333333333
"4","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",17.0333333333333,25.55,50.65,50.35,66.9333333333333,58.5666666666666,41.8333333333333,16.7333333333333
"5","0x15870af7a292ad698827182fdd11b083298a9990",0,0,0,0,0,0,0,0
"6","0x15943e1951e0e3803cb62121315507fb5b054787",0,0,4.18333333333333,4.18333333333333,4.18333333333333,0,0,0
"7","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",0,8.51666666666667,16.8833333333333,25.25,25.1,20.9166666666667,12.55,4.18333333333333
"8","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",17.0333333333333,17.0333333333333,25.4,8.36666666666667,8.36666666666667,8.36666666666667,8.36666666666667,8.36666666666667
"9","0x1c496ed78215eac4978f02cca335ff3a358e1f35",0,8.51666666666667,8.51666666666667,8.51666666666667,0,8.36666666666667,8.36666666666667,8.36666666666667
"10","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",0,0,4.18333333333333,4.18333333333333,4.18333333333333,0,0,0
"11","0x47bbe214a4bc6bb2b2896eb280422af0c4198313",0,0,0,0,0,0,0,0
"12","0x49d443d89da0712b1d608eeaedef2650ab8b2206",0,0,0,0,0,0,0,0
"13","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",0,8.51666666666667,8.51666666666667,16.8833333333333,20.9166666666667,25.1,16.7333333333333,4.18333333333333
"14","0x562cd9d3e460bf542fca162b4720e340a72c4618",0,0,0,0,0,0,0,0
"15","0x5da53876a2b37b49ee42c34522c9fced42047658",8.51666666666667,8.51666666666667,16.8833333333333,8.36666666666667,8.36666666666667,12.55,12.55,12.55
"16","0x5f90ebc41c07089502a32d683480ea3fe2410d34",0,0,0,4.18333333333333,8.36666666666666,8.36666666666666,4.18333333333333,0
"17","0x60f2a7c350ffca4ef7bcec0e8c48d6ea40241e3c",0,0,0,0,0,0,0,0
"18","0x629cbcaaae418da37f4ed34f13637f809f75278b",0,0,0,0,0,0,0,0
"19","0x64d414a275842728925f72847e09e694b590d5b1",0,0,0,0,0,0,0,0
"20","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",0,0,16.7333333333333,33.4666666666666,46.0166666666666,41.8333333333333,25.1,12.55
"21","0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b",0,0,0,0,0,0,0,0
"22","0x7a75f008c92d94761ff156ef54d99133f3054be4",17.0333333333333,34.0666666666666,50.7999999999999,58.8666666666666,62.75,54.3833333333334,29.2833333333334,8.36666666666667
"23","0x7b2c08606c9bbcbc2d5acee70deca0058051e9e1",0,0,0,0,0,4.18333333333333,4.18333333333333,4.18333333333333
"24","0x98d142a1039ff6384bbc07c6231708e14b24a96d",0,0,8.36666666666667,20.9166666666667,20.9166666666667,12.55,0,0
"25","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",0,0,0,0,0,0,0,0
"26","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",0,25.55,59.0166666666667,84.1166666666667,96.2166666666667,87.85,62.75,25.1
"27","0xa8ac9c0403d8a31cfc1bf43e09231c0ffaf52dd7",0,0,0,0,0,0,0,0
"28","0xa9da3474eafab14ac6c9f6111acb2d2e5e071370",0,0,0,0,0,0,0,0
"29","0xaab74d9a2fa5aa3d021b870dd6e8c1e467346ed6",0,0,0,0,0,0,0,0
"30","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",0,0,0,4.18333333333333,4.18333333333333,8.36666666666666,4.18333333333333,4.18333333333333
"31","0xb432de8871c179b57850ee04144a70b76b897c37",0,0,0,0,0,0,0,0
